1	25	0	4,962083333	11,58916667	64,56	0	1,13	2,7775	13,67	7,67	2,86	1,12	178,4	5,06	354,6	2,105416667	6,89625	54,79291667	2,98125	72,1	95,8	51,32	1,765416667	6,727916667	74,49291667	4,263333333
1	26	0,8	1,765416667	6,727916667	74,49291667	0	1,34	4,263333333	11,14	6,56	3,13	2,72	90,8	10,97	49,68	4,962083333	11,58916667	64,56	2,7775	71,7	91,9	56,84	1,749583333	5,36125	69,71416667	3,306666667
1	27	0	1,749583333	5,36125	69,71416667	0	1,55	3,306666667	9,86	4,51	-0,15	2,29	103	10	63,48	1,765416667	6,727916667	74,49291667	4,263333333	67,26	92,6	35,72	6,635	20,03208333	49,0745	4,332916667
1	28	0	6,635	20,03208333	49,0745	0	1,42	4,332916667	12,26	5,12	-0,22	1,34	153,2	4,56	67,52	1,749583333	5,36125	69,71416667	3,306666667	69,28	89,5	30,35	4,829583333	16,21291667	61,84666667	4,794166667
1	29	0	4,829583333	16,21291667	61,84666667	0	1,69	4,794166667	13,33	6,05	-1,15	2,65	257,6	8,45	312,8	6,635	20,03208333	49,0745	4,332916667	75,7	94,3	47,91	1,949166667	7,714166667	81,43041667	3,819166667
1	30	0	1,949166667	7,714166667	81,43041667	0	1,7	3,819166667	13,13	7,62	1,78	2,73	265,5	6,31	260,4	4,829583333	16,21291667	61,84666667	4,794166667	79	96,2	47,44	1,813333333	7,153333333	78,35708333	4,824166667
2	3	2,2	4,17	14,17058824	48,82941176	0	0,95	4,185294118	11,2	6,6	0,99	1,55	82,2	4,24	78	4,787916667	12,51375	65,33708333	5,934583333	87,1	95,7	67,43	4,221666667	10,53375	58,08583333	3,11375
2	4	8	4,221666667	10,53375	58,08583333	4,16	1,08	3,11375	15,34	11,02	8,13	2,77	241,6	9,64	199,9	4,17	14,17058824	48,82941176	4,185294118	92,7	98,1	75,3	2,524583333	12,66708333	79,93875	3,52125
2	5	0	2,524583333	12,66708333	79,93875	0	1,91	3,52125	15,74	10,92	6,33	2,96	249,6	7,34	246,2	4,221666667	10,53375	58,08583333	3,11375	81,6	96,7	50,65	7,692083333	18,22958333	47,87416667	4,5425
2	6	0	7,692083333	18,22958333	47,87416667	0	1,19	4,5425	15,06	7,64	2,26	0,8	244,4	4,09	293,1	2,524583333	12,66708333	79,93875	3,52125	87,3	98,6	58	2,073333333	9,587083333	38,9625	3,3875
2	7	0,6	2,073333333	9,587083333	38,9625	0	1,01	3,3875	14,14	8,67	3,39	0,97	165,1	3,54	99,7	7,692083333	18,22958333	47,87416667	4,5425	89,8	98,5	70,4	2,286666667	9,16	84,0775	3,494583333
2	8	10	2,286666667	9,16	84,0775	5,62	1,8	3,494583333	15,88	11,66	7,86	3,08	249,3	8,62	263,5	2,073333333	9,587083333	38,9625	3,3875	85,7	96,2	57,95	2,135416667	8,0775	86,24541667	2,866666667
2	9	0,2	2,135416667	8,0775	86,24541667	0	1,81	2,866666667	14,74	9,81	6,66	3,4	276,9	8,76	309,7	2,286666667	9,16	84,0775	3,494583333	84,3	96,7	59,63	2,0525	8,592916667	76,37166667	3,296666667
2	10	12,8	2,0525	8,592916667	76,37166667	7,56	0,75	3,296666667	9,66	8,38	6,33	1,59	164,6	5,27	277,7	2,135416667	8,0775	86,24541667	2,866666667	94,6	97,5	83,9	3,11375	10,26666667	78,91458333	3,080833333
2	11	1,4	3,11375	10,26666667	78,91458333	0	1,4	3,080833333	11,12	6,82	1,52	1,16	171,3	4,07	322,1	2,0525	8,592916667	76,37166667	3,296666667	71,3	97,3	42,35	2,31826087	7,463478261	72,60545455	5,286363636
2	12	2,4	2,31826087	7,463478261	72,60545455	0	1,21	5,286363636	6,46	4,86	2,45	2,88	104,1	6,75	0	3,11375	10,26666667	78,91458333	3,080833333	68,58	90,1	53,44	2,595	7,1975	86,74333333	3,16
2	13	1,2	2,595	7,1975	86,74333333	0	1,51	3,16	9,66	3,9	-0,55	1,52	51,28	6,07	0	2,31826087	7,463478261	72,60545455	5,286363636	74,2	94,9	39,47	1,881666667	5,076666667	71,39916667	1,61125
2	14	0,2	1,881666667	5,076666667	71,39916667	0	1,09	1,61125	8	3,1	-2,55	2,31	100	7,12	0	2,595	7,1975	86,74333333	3,16	83,9	98,1	64,69	1,492916667	3,625833333	83,68416667	2,715
2	15	19,2	1,492916667	3,625833333	83,68416667	11,77	0,8	2,715	7,86	5,72	4,19	5,05	76	11,36	0	1,881666667	5,076666667	71,39916667	1,61125	92,4	95,5	83,5	2,22625	6,63625	74,2825	2,470833333
2	16	21,2	2,22625	6,63625	74,2825	13,04	0,97	2,470833333	13,27	9,74	7,2	3,06	140	8,92	216	1,492916667	3,625833333	83,68416667	2,715	94,1	98,2	82,5	2,802916667	16,88375	84,32583333	3,200416667
